incubator,location,incubee,current_incubatees,graduated_incubatees
Swami Technical and Development Foundation,Ahmednagar Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66485cb9e4b0608c0b165df4.html,10,10
GNLU Legal Incubation Council,Gandhinagar Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6645d1fce4b0608c0b15fe51.html,0,0
Har Prasad Gupt Incubation Foundation,Varanasi Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6641fd3be4b02a1359265c9b.html,5,1
Dr Moopens iNEST,Wayanad Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6641d83be4b02a135926505f.html,0,0
KALINGA INCUBATION FOUNDATION,Raipur Chhattisgarh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.663ef7cee4b02a135925d0ac.html,0,0
GALGOTIAS INCUBATION CENTRE FOR RESEARCH INNOVATION STARTUP and ENTREPRENEURS,Gautam Buddha Nagar Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.663dc1abe4b02a1359258566.html,33,5
OPJU Innovation Center,Raigarh Chhattisgarh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.663b5f01e4b00265e00a48d3.html,0,0
BPlan Advisors Private Limited,Raipur Chhattisgarh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6630e15ce4b0cdd2e3dcff9a.html,3,5
I Hub Foundation for Cobotics,New Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6630963fe4b0cdd2e3dce1a5.html,0,0
Hatchlab Research Centre,Guntur Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.662f7c88e4b0cdd2e3dcb6f1.html,43,13
Sathak Innovation and Incubation Foundation,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.662630c0e4b0cdd2e3db4a75.html,0,0
IIM SAMBALPUR I-HUB FOUNDATION,Sambalpur Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6620fe84e4b0cdd2e3da8e3c.html,29,6
PLA,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6620a789e4b0cdd2e3da6b58.html,52,25
BITS PILANI HYDERABAD CAMPUS SOCIETY,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.661fba41e4b0cdd2e3da54ca.html,15,30
Sona Accelerator & Incubation Foundation,Salem Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.661f9a1de4b0cdd2e3da4932.html,0,0
Mayank Giri,Marmagao Goa,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.661e5a4ee4b0d62d662d3bb7.html,11,12
