incubator,location,incubee,current_incubatees,graduated_incubatees
IMS Engineering College,Ghaziabad Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f65e1e4b03beb135efb84.html,0,0
IKP Knowledge Park (erstwhile ICICI Knowledge Park),Adilabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f65dee4b03beb135efb81.html,0,0
GMR Institute of Technology,Adoni Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f65cce4b03beb135efb6c.html,0,0
Gandhi Institution of Management Studies,Balangir Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f65c9e4b03beb135efb69.html,0,0
Er. Perumal Manimekalai College of Engineering,Arakkonam Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f65c4e4b03beb135efb63.html,0,0
Dr. MGR Educational Research Institute University,Arakkonam Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f65c1e4b03beb135efb60.html,0,0
Dept of management Studies IITMadras,Arakkonam Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f65bee4b03beb135efb5d.html,0,0
Cluster Innovation Centre,Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f65afe4b03beb135efb4e.html,0,0
Central Institute of Plastic Engineering Technology,Achhnera Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f65a6e4b03beb135efb48.html,0,0
C.V.Raman College of Engineering,Balangir Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f65a3e4b03beb135efb45.html,0,0
ABES Engg. College,Achhnera Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f659ae4b03beb135efb39.html,0,0
IIM Calcutta Innovation Park,Adra West Bengal,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f653ae4b03beb135efb2e.html,0,0
Malaviya Centre for Innovation Incubation & Entrepreneurship (MCIIE),Achhnera Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f6526e4b03beb135efb2b.html,0,0
Nesting Incubation and Entrepreneurship for Leveraging Agri Innovations in Nutricereals (NIELAN),Adilabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f651de4b03beb135efb25.html,0,0
Agri Business Incubator,Adilabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f651ae4b03beb135efb22.html,0,0
Birla Institute of technology and Science BITS- Pilani (Hyderabad Campus),Adilabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f6515e4b03beb135efb1f.html,0,0
Foundation for Innovation & Research at SASTRA - TBI,Arakkonam Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f64fee4b03beb135efb1c.html,0,0
Technology Business Incubator,Arakkonam Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f64fbe4b03beb135efb19.html,0,0
TCE-TBI,Arakkonam Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f64f8e4b03beb135efb16.html,0,0
Development of Entrepreuners Through Incubation (DETI@ACE),Arakkonam Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f64f4e4b03beb135efb13.html,0,0
Technology Business Incubator,Arakkonam Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f64ede4b03beb135efb10.html,0,0
St.Peter's Engineering College - Technology Business Incubator,Arakkonam Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f64eae4b03beb135efb0d.html,0,0
Birla Institute of technology and Science BITS- Pilani (Hyderabad Campus),Amritsar Punjab,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f64cfe4b03beb135efb0a.html,0,0
Indian Institute of Science and Research,Amritsar Punjab,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f64cce4b03beb135efb07.html,0,0
NITJ Technology Business Incubator,Amritsar Punjab,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f64c9e4b03beb135efb04.html,0,0
Science & Techology Entrepreneur's Park,Amritsar Punjab,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f64c3e4b03beb135efb00.html,0,0
Technology based Incubator Society (TBIS),Port Blair Andaman and Nicobar Islands,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f64bbe4b03beb135efafd.html,0,0
COEP's Bhau Institute of Innovation Entrepreneurship and Leadership,Achalpur Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f64b7e4b03beb135efafa.html,0,0
Zone Startups India (BIL-Ryerson Fututes Pvt Ltd.),Achalpur Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f64b1e4b03beb135efaf7.html,0,0
RiiDL (Research Innovation Incubation Design Labs),Achalpur Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f64a4e4b03beb135efaf4.html,0,0
M.P.STEP,Alirajpur Madhya Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f64a2e4b03beb135efaf1.html,0,0
Kerala Startup Mission (Formerly Technopark Technology Business Incubator),Adoor Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f649fe4b03beb135efaee.html,0,0
ARTILAB Foundation,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f649ce4b03beb135efaeb.html,0,0
Business Entrepreneurship and Start-up support through Technology in Horticulture (BESST-HORT),Adyar Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f6498e4b03beb135efae8.html,0,0
Global Incubation Service (GINSERV),Adyar Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f6496e4b03beb135efae5.html,0,0
Technovate India Innovations,Adyar Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f6493e4b03beb135efae2.html,0,0
E-Health TBI,Adyar Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f6490e4b03beb135efadf.html,0,0
BEC STEP,Adyar Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f648de4b03beb135efadc.html,0,0
Foundation for sandboxstartup initiatives,Adyar Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f648ae4b03beb135efad9.html,0,0
Startup Village,Adyar Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f6485e4b03beb135efad6.html,0,0
Manipal University Technology Business Incubator,Adyar Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f6481e4b03beb135efad3.html,0,0
Soceity for Development of Composites,Adyar Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f647ce4b03beb135efacd.html,0,0
National Design Business Incubator,Adyar Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f6479e4b03beb135efaca.html,0,0
STEP-Birla Institute of Technology,Adityapur Jharkhand,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f6476e4b03beb135efac7.html,0,0
Indian Institute of Integrative Medicine-Technology Business Incubator,Port Blair Andaman and Nicobar Islands,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f6473e4b03beb135efac4.html,0,0
Centre for Advancing and Launching Enterprises (CrAdLE),Adalaj Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f6467e4b03beb135efac1.html,0,0
ASSOCIATION FOR HARNESSING INNOVATION AND ENTREPRENEURSHIP,Surat Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f6464e4b03beb135efabe.html,0,0
LEAF (Leadership Entrepreneurship and Acceleration Foundation) - GLS University Incubator,Ahmedabad Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f6461e4b03beb135efabb.html,0,0
IIT Gandhinagar Innovation and Entrepreneurship Center,Adalaj Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f645ee4b03beb135efab8.html,0,0
NIF Incubation and Entrepreneurship Council (NIFientreC),Ahmedabad Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f6454e4b03beb135efab5.html,0,0
Ahmedabad University Support Foundation VentureStudio,Adalaj Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f6452e4b03beb135efab2.html,0,0
CENTRE FOR INCUBATION AND BUSINESS ACCELERATION,Mapusa Goa,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f644ee4b03beb135efaaf.html,0,0
Indigram Labs Foundation,New Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f644be4b03beb135efaac.html,0,0
Society for Siddharth International Incubation Centre,Adoni Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f6442e4b03beb135efaa9.html,0,0
ADITYA GLOBAL BUSINESS INCUBATOR,Adoni Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f6440e4b03beb135efaa6.html,0,0
Shri Shankracharya Technical Campus Business Incubator,Ambikapur Chhattisgarh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f42e8e4b03beb135ef8ab.html,0,0
AIC@36Inc,Raipur Chhattisgarh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f42e4e4b03beb135ef8a7.html,0,0
SSCBS Innovation and Incubation Foundation (SIIF),New Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f42dce4b03beb135ef8a2.html,0,0
NSUT IIF,New Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f42d8e4b03beb135ef89d.html,0,0
North Eastern India-ASEAN Chamber of Commerce & Industry,Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f42cde4b03beb135ef898.html,0,0
IIITD Innovation & Incubation Center,Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f42cae4b03beb135ef894.html,0,0
DTU INNOVATION AND INCUBATION FOUNDATION (DTU IIF),Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f42c5e4b03beb135ef890.html,0,0
DIIF (DPSRU Innovation & Incubation Foundation),Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f42c3e4b03beb135ef88d.html,0,0
Incubation Research Foundation,Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f42bee4b03beb135ef888.html,0,0
CAREER POINT UNIVERSITY,Kota Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f42b7e4b03beb135ef884.html,0,0
Entrepreneur Incubation Center Bhagwant University,Ajmer Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f42a7e4b03beb135ef880.html,0,0
Centre for Entrepreneurship & Innovation (CEI),Jaipur Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f42a3e4b03beb135ef87b.html,0,0
BITS Pilani Technology Business Incubator,Pilani Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f4293e4b03beb135ef872.html,0,0
IIM Udaipur Incubation Centre,Udaipur Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f428be4b03beb135ef86e.html,0,0
GIT Jaipur Rural Technology and Business Incubator (RTBI),Jaipur Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f4284e4b03beb135ef86a.html,0,0
CSIRCEERI's Incubation-cum Innovation Hub Jaipur,Jaipur Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f4267e4b03beb135ef865.html,0,0
Techno Hub,Jaipur Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f425ae4b03beb135ef860.html,0,0
Indian Institute of Technology Indore,Indore Madhya Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f4254e4b03beb135ef85c.html,0,0
Indian Institute of Forest Management Bhopal,Bhopal Madhya Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f424fe4b03beb135ef858.html,0,0
Startup Space Station Bhopal,Bhopal Madhya Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f4245e4b03beb135ef851.html,0,0
Swan Angle Network Indore,Indore Madhya Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f4241e4b03beb135ef84e.html,0,0
Madhya Pradesh State Bamboo Mission Satna,Satna Madhya Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f422de4b03beb135ef83f.html,0,0
B-Nest Bhopal,Bhopal Madhya Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f4229e4b03beb135ef83b.html,0,0
InQ Innovations,Adoor Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f4210e4b03beb135ef82c.html,0,0
CPCRI Incubator,Kasaragod Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f420ce4b03beb135ef828.html,0,0
IEDC CUSAT,Adoor Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f4204e4b03beb135ef824.html,0,0
Women Business Incubation Programme,Thiruvananthapuram Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f41fce4b03beb135ef820.html,0,0
GECBH TBI,Adoor Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f41f8e4b03beb135ef81c.html,0,0
Startup Dreams,Adoor Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f41f3e4b03beb135ef818.html,0,0
IAMAI Mobile 10x,Adoor Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f41efe4b03beb135ef814.html,0,0
KSIDC BIC,Adoor Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f41dfe4b03beb135ef80c.html,0,0
Kerala Agriculture Value Product Research & Development,Adoor Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f41d1e4b03beb135ef807.html,0,0
Technolodge Thiruvananthapuram,Adoor Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f41cee4b03beb135ef804.html,0,0
Technolodge Muvattupuzha,Adoor Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f41cae4b03beb135ef800.html,0,0
Technolodge Kannur,Kannur Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f41c7e4b03beb135ef7fc.html,0,0
Technolodge Piravom,Adoor Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f41c3e4b03beb135ef7f8.html,0,0
IKP EDEN,Adyar Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f419fe4b03beb135ef7f1.html,0,0
IAMAI Mobile10X -K-Tech Innovation Hub,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f419be4b03beb135ef7ed.html,0,0
NASSCOM CENTER OF EXCELLENCE - INTERNET OF THINGS,Adyar Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f4197e4b03beb135ef7e9.html,0,0
K-tech Innovation Hub-NASSCOM,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f4193e4b03beb135ef7e5.html,0,0
Bangalore Bioinnovation Centre,Adyar Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f4190e4b03beb135ef7e0.html,0,0
EDII-Periyakulam Horti Business Incubation Forum,Periyakulam Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f418ce4b03beb135ef7dc.html,0,0
PSYEC Incubation Centrer,Sivaganga Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f4183e4b03beb135ef7d8.html,0,0
AIHT Business Incubator Foundation,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f417fe4b03beb135ef7d3.html,0,0
NEC Business Incubator,Arakkonam Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f417be4b03beb135ef7cf.html,0,0
Madurai Agribusiness Incubation Forum (MABIF),Madurai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3fc6e4b03beb135ef7b2.html,0,0
MS SWAMINATHAN BIO-INCUBATION CENTRE,Arakkonam Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3fc2e4b03beb135ef7ae.html,0,0
IITM BIOINCUBATOR  IIT Madras Research Park,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3fbfe4b03beb135ef7aa.html,0,0
Bannari Amman Institute of Technology – Technology Business Incubator,Sathyamangalam Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3fbbe4b03beb135ef7a6.html,0,0
MaDeIT Innovation Foundation,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3fb7e4b03beb135ef7a3.html,0,0
Gram Tarang Employability Training Services Pvt. Ltd.,Bhubaneswar Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3fb0e4b03beb135ef79f.html,0,0
iHub Inc (Perfectus Tech Private Ltd),Bhubaneswar Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3face4b03beb135ef79b.html,0,0
Srusti Academy Development Foundation,Bhubaneswar Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3fa9e4b03beb135ef797.html,0,0
Xavier Council Of Innovations,Bhubaneswar Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3fa4e4b03beb135ef793.html,0,0
SSU Innovation Pvt Ltd,Cuttack Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3fa0e4b03beb135ef78f.html,0,0
Center of Innovation Incubation & Entrepreneurship (CIIE),Bhubaneswar Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3f94e4b03beb135ef786.html,0,0
CIIBM JKEDI,Port Blair Andaman and Nicobar Islands,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3f8de4b03beb135ef782.html,0,0
Andhra Pradesh Innovation Society,Visakhapatnam Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3f83e4b03beb135ef77d.html,0,0
Yashwantrao Chavan College of Engineering,Nagpur Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3d3ae4b03beb135ef709.html,0,0
Ramdeobaba college of Engineering.,Nagpur Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3d35e4b03beb135ef702.html,0,0
SJC Institute of Technology - New Age Innovation Network (NAIN)-Ktech Innovation Hub,Chikkaballapur Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3d31e4b03beb135ef6fe.html,0,0
Society for lnnovation and Development llSc,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3d17e4b03beb135ef6ee.html,0,0
Medical Electronics Incubation Centre,Patna Bihar,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3d10e4b03beb135ef6e8.html,0,0
Electronics Incubation Centre,Port Blair Andaman and Nicobar Islands,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3d0ce4b03beb135ef6e4.html,0,0
Centre for Entrepreneurship Development and Incubation (CEDI),Tiruchirappalli Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3d02e4b03beb135ef6de.html,0,0
NITK- Science Technology Entrepreneurship Park (NITK-STEP),Port Blair Andaman and Nicobar Islands,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3d00e4b03beb135ef6db.html,0,0
Society for Innovation and Entrepreneurship (SINE),Mumbai Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3cf0e4b03beb135ef6d6.html,0,0
Nadathur S Raghavan Centre for Entrepreneurial Learning (NSRCEL),Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3ce9e4b03beb135ef6d1.html,0,0
IIITB Innovation Center,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3cdbe4b03beb135ef6cc.html,0,0
DA-IICT Centre for Entrepreneurship and Incubation (DCEI),Adalaj Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3cd3e4b03beb135ef6c7.html,0,0
Space Technology Incubation Centre (S-TIC),Agartala Tripura,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3cbde4b03beb135ef6c0.html,0,0
Shanmugha Arts Science Technology & Research Academy (SASTRA),Arakkonam Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3b99e4b03beb135ef680.html,0,0
Institute of Advanced Study in Science & Technology (IASST),Guwahati Assam,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3b95e4b03beb135ef67c.html,0,0
National Institute of Pharmaceutical Education & Research (NIPER),Guwahati Assam,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3b91e4b03beb135ef678.html,0,0
Mazumdar Shaw Medical Foundation (MSMF) Bangalore,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3b8ee4b03beb135ef674.html,0,0
DPSRU Innovation & Incubator Foundation (DIIF),Port Blair Andaman and Nicobar Islands,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3b8ae4b03beb135ef670.html,0,0
Andhra Pradesh MedTech Zone(AMTZ),Port Blair Andaman and Nicobar Islands,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3b84e4b03beb135ef66c.html,0,0
SPMVV- Women Biotech Incubation facility (SPMVV- WBIF),Tirupati Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3b7ee4b03beb135ef667.html,0,0
Clean Enery International Incubation Center,Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3b75e4b03beb135ef663.html,0,0
SBTIC Hyderabad,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3b6fe4b03beb135ef65e.html,0,0
IIIT Hyderabad,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3b6be4b03beb135ef65a.html,0,0
Women Biotech ParkChennai,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3b66e4b03beb135ef656.html,0,0
C-CAMP Bangalore,Adyar Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3b62e4b03beb135ef652.html,0,0
Gujarat State Biotechnology Mission (GSBTM),Adalaj Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3b5ce4b03beb135ef64a.html,0,0
ICRISAT Hyderabad,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3b58e4b03beb135ef646.html,0,0
SRISTI Innovation Ahmedabad Gujrat,Ahmedabad Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3b55e4b03beb135ef642.html,0,0
B. V. PATEL PERD Centre,Ahmedabad Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3b51e4b03beb135ef63e.html,0,0
HTIC Chennai,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3b4ce4b03beb135ef63a.html,0,0
IIHR Bangalore,Adyar Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3b48e4b03beb135ef636.html,0,0
BSC BioNEST Bio-Incubator (Regional Centre for Biotechnology Faridabad),Faridabad Haryana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3b44e4b03beb135ef632.html,0,0
ZTM-BPD IARI,New Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3b40e4b03beb135ef62e.html,0,0
Panjab University,Chandigarh Chandigarh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3b3be4b03beb135ef629.html,0,0
BITS Pilani K K Birla Goa campus,Mapusa Goa,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2f3b2ee4b03beb135ef61c.html,0,0
Ignite EDC Innovation Hub,Panaji Goa,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2d55c4e4b03beb135e73d7.html,0,0
Nec Business Incubator,Tirunelveli Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d26e24ce4b0ac4d036f2682.html,0,0
AIC MIT ADT Incubator Forum,Pune Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d2594fce4b0ac4d036ee6f1.html,0,0
Hartron Innovation and Start-up Hub,Gurugram Haryana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d22c432e4b0ac4d036e6f1f.html,0,0
AIC Great Lakes Balachandran Incubator,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d19df60e4b0659b52664080.html,0,0
R-ABIs ANGRAU Poshan Incubator,Tirupati Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d17419fe4b0659b5265e0ae.html,0,0
IGKV R-ABI,Raipur Chhattisgarh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d145ed0e4b0659b52658e52.html,0,0
INCUVATIONS FOUNDATION,Brahmapur Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d135027e4b0659b526573fa.html,0,0
AIC-NMIMS Incubation Centre,Mumbai Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d120c83e4b0659b5265433b.html,0,0
Biotechnology Business Incubator Under Society For Sustainable EcoFriendly Solutions,Jaipur Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d11fce4e4b0659b526541e4.html,0,0
Foundation for Inovation and Entrepreneurship Development,Kashipur Uttarakhand,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d11d9dfe4b0659b526533b8.html,0,0
Center for Innovation Incubation & Entrepreneurship (KL TECHNOLOGY INCUBATORS FOUNDATION),Vijayawada Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d11c16ce4b0659b52653189.html,0,0
Foundation for Innovation and Research at SASTRA TBI,Thanjavur Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d0b6977e4b0659b5264a2d5.html,0,0
AIC RAISE,Coimbatore Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5d08d9fde4b08f8b1a9d62f0.html,0,0
VIKAS RKVY AGRIBUSINESS INCUBATOR,Cuttack Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5cf8d7bbe4b08f8b1a9a03fc.html,0,0
Atal Incubation Centre- Rambhau Mhalgi Prabodhini,Mumbai Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5cf61680e4b08f8b1a99654d.html,0,0
InnoWork,Noida Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5cf13c03e4b08f8b1a98bdea.html,0,0
MS Swaminathan Bio Incubation Centre,Kanchipuram Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.5cef9535e4b08f8b1a987598.html,0,0
